main_word,Arabic,Chinese,French,German,Hindi,Indonesian,Italian,Japanese,Korean,Portuguese,Russian,Spanish,Swahili,Turkish,Urdu,Vietnamese,English
I,أنا,我,je,ich,मैं,saya,io,私,나,eu,я,yo,mimi,ben,میں,tôi,I
observe,يلاحظ,观察,observer,beobachten,देखना,mengamati,osservare,観察する,관찰하다,observar,наблюдать,observar,kuangalia,gözlemlemek,مشاہدہ کرنا,quan sát,observe
earth,الأرض,地球,terre,Erde,पृथ्वी,bumi,terra,地球,지구,terra,Земля,tierra,dunia,dünya,زمین,trái đất,earth
we,نحن,我们,nous,wir,हम,kami,noi,私たち,우리,nós,мы,nosotros,sisi,biz,ہم,chúng tôi,we
build,يبني,建造,construire,bauen,बनाना,membangun,costruire,建てる,짓다,construir,строить,construir,kujenga,inşa etmek,تعمیر کرنا,xây dựng,build
station,محطة,车站,station,Bahnhof,स्टेशन,stasiun,stazione,駅,역,estação,станция,estación,kituo,istasyon,اسٹیشن,nhà ga,station
you,أنت,你,tu,du,आप,kamu,tu,あなた,너,você,ты,tú,wewe,sen,آپ,bạn,you
repair,يصلح,修理,réparer,reparieren,मरम्मत करना,memperbaiki,riparare,修理する,수리하다,reparar,ремонтировать,reparar,kutengeneza,tamir etmek,مرمت کرنا,sửa chữa,repair
experiment,تجربة,实验,expérience,Experiment,प्रयोग,eksperimen,esperimento,実験,실험,experimento,эксперимент,experimento,jaribio,deney,تجربہ,thí nghiệm,experiment
they,هم,他们,ils,sie,वे,mereka,loro,彼ら,그들,eles,они,ellos,wao,onlar,وہ,họ,they
communicate,يتواصل,沟通,communiquer,kommunizieren,संचार करना,berkomunikasi,comunicare,通信する,의사소통하다,comunicar,общаться,comunicarse,kuwasiliana,iletişim kurmak,بات چیت کرنا,giao tiếp,communicate
food,طعام,食物,nourriture,Essen,भोजन,makanan,cibo,食べ物,음식,comida,еда,comida,chakula,yiyecek,کھانا,thức ăn,food
astronaut,رائد فضاء,宇航员,astronaute,Astronaut,अंतरिक्ष यात्री,astronot,astronauta,宇宙飛行士,우주비행사,astronauta,астронавт,astronauta,mwanaanga,astronot,خلاباز,phi hành gia,astronaut
float,يطفو,漂浮,flotter,schweben,तैरना,mengapung,galleggiare,浮かぶ,뜨다,flutuar,плавать,flotar,kuelea,yüzmek,تیرنا,nổi,float
data,بيانات,数据,données,Daten,डेटा,data,dati,データ,데이터,dados,данные,datos,data,veri,ڈیٹا,dữ liệu,data
robot,روبوت,机器人,robot,Roboter,रोबोट,robot,robot,ロボット,로봇,robô,робот,robot,roboti,robot,روبوٹ,người máy,robot
dream,حلم,梦想,rêve,Traum,सपना,mimpi,sogno,夢,꿈,sonho,сон,sueño,ndoto,rüya,خواب,giấc mơ,dream
star,نجم,星星,étoile,Stern,तारा,bintang,stella,星,별,estrela,звезда,estrella,nyota,yıldız,ستارہ,ngôi sao,star
earthling,إنسان أرضي,地球人,terrestre,Erdling,पृथ्वीवासी,manusia bumi,terrestre,地球人,지구인,terrestre,землянин,terrestre,mwanadamu wa dunia,dünyalı,اہل زمین,người Trái Đất,earthling
share,يشارك,分享,partager,teilen,साझा करना,berbagi,condividere,共有する,공유하다,compartilhar,делиться,compartir,shiriki,paylaşmak,بانٹنا,chia sẻ,share
story,قصة,故事,histoire,Geschichte,कहानी,cerita,storia,物語,이야기,história,история,historia,hadithi,hikaye,کہانی,câu chuyện,story
commander,قائد,指挥官,commandant,Kommandant,कमांडर,komandan,comandante,司令官,지휘관,comandante,командир,comandante,kamanda,komutan,کمانڈر,chỉ huy,commander
explore,يستكشف,探索,explorer,erkunden,पता लगाना,menjelajah,esplorare,探検する,탐험하다,explorar,исследовать,explorar,chunguza,keşfetmek,دریافت کرنا,khám phá,explore
future,مستقبل,未来,avenir,Zukunft,भविष्य,masa depan,futuro,未来,미래,futuro,будущее,futuro,baadaye,gelecek,مستقبل,tương lai,future 
